model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2-Instruct-0905,decoder,24,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,25,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,26,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,27,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,28,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,29,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,30,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,31,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,32,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,33,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,34,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,35,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,36,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,37,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,38,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,39,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,40,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,41,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,42,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,43,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,44,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,45,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,46,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,47,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,48,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,49,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,50,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
